t,tr_nll_val,tr_acc_val,tr_nll_train,tr_acc_train,iterations,H,B,tau,batch_size,N,tr_poly_a,tr_poly_gamma,tr_poly_b,output_dir,final_error_rate_pct
1001,0.15443751616403462,0.9528,0.026201164349913597,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1101,0.14787639850284903,0.9547,0.07874076068401337,0.97,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1201,0.13769730514613912,0.9585,0.022814298048615456,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1301,0.13020926330354995,0.9591,0.01402920950204134,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1401,0.1412215687625576,0.957,0.022402117028832436,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1501,0.14950880107004194,0.9534,0.029182428494095802,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1601,0.1338356984622078,0.9583,0.016833459958434105,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1701,0.13607030729064717,0.9549,0.041746582835912704,0.98,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1801,0.12857219659083058,0.9603,0.026321658864617348,0.99,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
1901,0.1341408656956628,0.9607,0.009687056764960289,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2001,0.1346938701387262,0.9597,0.011902516707777977,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2101,0.13284899733494968,0.9591,0.01825588382780552,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2201,0.13959071474790108,0.9587,0.010471913032233715,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2301,0.14086797334777656,0.959,0.02371242083609104,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2401,0.13084147318615577,0.9633,0.010503612458705902,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2501,0.13537200005317573,0.961,0.004512270912528038,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2601,0.1313020716549363,0.9606,0.00838352832943201,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2701,0.1258298531943001,0.962,0.011192142963409424,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2801,0.12977170264115556,0.9587,0.009742481634020805,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
2901,0.13651815894409083,0.9623,0.0247380118817091,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
3001,0.13825789527734741,0.9624,0.007918988354504108,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
3101,0.13577326592989267,0.9619,0.004781010095030069,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
3201,0.13311385103152135,0.9627,0.005676135886460543,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
3301,0.1322735676751472,0.9611,0.009030275046825409,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
3401,0.1377977291001298,0.9617,0.004678428638726473,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
3501,0.14565855671942698,0.9611,0.012639153748750687,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
3601,0.1498130150383804,0.9601,0.004337521269917488,1.0,1000000,100,1000,10.0,100,60000,4e-06,0.0,0.0,experiment/single_runs/T1000000_tau10_a4.00e-6_b0_g0_J25385223,3.3200000000000007
