t,tr_nll_val,tr_acc_val,tr_nll_train,tr_acc_train,iterations,H,B,tau,batch_size,N,tr_poly_a,tr_poly_gamma,tr_poly_b,output_dir,final_error_rate_pct
1001,1.507241129875183,0.7309,1.5425407886505127,0.72,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1101,1.3895617485046388,0.7476,1.383840799331665,0.8,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1201,1.2786818844079972,0.7716,1.3053922653198242,0.78,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1301,1.1769192671775819,0.7814,1.1014372110366821,0.79,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1401,1.0912068992853166,0.7923,1.0679106712341309,0.78,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1501,1.0167244297266007,0.7978,1.1162320375442505,0.79,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1601,0.9506020337343216,0.8132,1.0020099878311157,0.79,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1701,0.893626406788826,0.8169,0.8945873975753784,0.81,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1801,0.844404304921627,0.8277,0.8665708303451538,0.8,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
1901,0.8011660331487656,0.8283,0.7463464140892029,0.84,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2001,0.7638283714652061,0.8341,0.7506802082061768,0.84,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2101,0.7319442427158356,0.8365,0.8314467668533325,0.82,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2201,0.7038265505433082,0.8425,0.7641464471817017,0.85,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2301,0.6783263114094734,0.8436,0.6936166882514954,0.83,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2401,0.6543617194890976,0.8526,0.6736471056938171,0.83,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2501,0.6348158095777034,0.8535,0.5895353555679321,0.86,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2601,0.6158174289762974,0.8561,0.5988827347755432,0.85,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2701,0.5992097686231136,0.8592,0.6960640549659729,0.81,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2801,0.5843000723421574,0.861,0.6505584716796875,0.87,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
2901,0.5700593042373657,0.863,0.5909446477890015,0.82,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
3001,0.5570795257389546,0.8667,0.5765196084976196,0.85,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
3101,0.5456801714003086,0.868,0.5021930932998657,0.89,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
3201,0.535093718022108,0.8688,0.5086215734481812,0.88,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
3301,0.5256607763469219,0.8691,0.6284723877906799,0.8,1000000,100,1000,320.0,100,60000,5e-06,0.56,1500.0,experiment/single_runs/T1000000_tau320_a5.00e-6_b1500_g0.56_J25379898,4.020000000000001
